ZIP	City	County	Type
28377	Red Springs	Robeson	Standard
28378	Rex	Robeson	P.O. Box
28379	Rockingham	Richmond	Standard
28380	Rockingham	Richmond	P.O. Box
28382	Roseboro	Sampson	Standard
28383	Rowland	Robeson	Standard
28384	Saint Pauls	Robeson	Standard
28385	Salemburg	Sampson	Standard
28386	Shannon	Robeson	Standard
28387	Southern Pines	Moore	Standard
28388	Southern Pines	Moore	P.O. Box
28390	Spring Lake	Cumberland	Standard
28391	Stedman	Cumberland	Standard
28392	Tar Heel	Bladen	Standard
28393	Turkey	Sampson	Standard
28394	Vass	Moore	Standard
28395	Wade	Cumberland	Standard
28396	Wagram	Scotland	Standard
28398	Warsaw	Duplin	Standard
28399	White Oak	Bladen	Standard
28401	Wilmington	New Hanover	Standard
28402	Wilmington	New Hanover	P.O. Box
28403	Wilmington	New Hanover	Standard
28404	Wilmington	New Hanover	P.O. Box
28405	Wilmington	New Hanover	Standard
28406	Wilmington	New Hanover	P.O. Box
28407	Wilmington	New Hanover	P.O. Box
28408	Wilmington	New Hanover	P.O. Box
28409	Wilmington	New Hanover	Standard
28410	Wilmington	New Hanover	Unique
28411	Wilmington	New Hanover	Standard
28412	Wilmington	New Hanover	Standard
28420	Ash	Brunswick	Standard
28421	Atkinson	Pender	Standard
28422	Bolivia	Brunswick	Standard
28423	Bolton	Columbus	Standard
28424	Brunswick	Columbus	P.O. Box
28425	Burgaw	Pender	Standard
28428	Carolina Beach	New Hanover	Standard
28429	Castle Hayne	New Hanover	Standard
28430	Cerro Gordo	Columbus	Standard
28431	Chadbourn	Columbus	Standard
28432	Clarendon	Columbus	Standard
28433	Clarkton	Bladen	Standard
28434	Council	Bladen	Standard
28435	Currie	Pender	Standard
28436	Delco	Columbus	Standard
28438	Evergreen	Columbus	Standard
28439	Fair Bluff	Columbus	Standard
28441	Garland	Sampson	Standard
28442	Hallsboro	Columbus	Standard
28443	Hampstead	Pender	Standard
28444	Harrells	Sampson	Standard
28445	Holly Ridge	Onslow	Standard
28447	Ivanhoe	Sampson	Standard
28448	Kelly	Bladen	Standard
28449	Kure Beach	New Hanover	Standard
28450	Lake Waccamaw	Columbus	Standard
28451	Leland	Brunswick	Standard
28452	Longwood	Brunswick	Standard
28453	Magnolia	Duplin	Standard
28454	Maple Hill	Pender	Standard
28455	Nakina	Columbus	Standard
28456	Riegelwood	Columbus	Standard
28457	Rocky Point	Pender	Standard
28458	Rose Hill	Duplin	Standard
28459	Shallotte	Brunswick	P.O. Box
28460	Sneads Ferry	Onslow	Standard
28461	Southport	Brunswick	Standard
28462	Supply	Brunswick	Standard
28463	Tabor City	Columbus	Standard
28464	Teachey	Duplin	Standard
28465	Oak Island	Brunswick	Standard
28466	Wallace	Duplin	Standard
28467	Calabash	Brunswick	Standard
28468	Sunset Beach	Brunswick	Standard
28469	Ocean Isle Beach	Brunswick	Standard
28470	Shallotte	Brunswick	Standard
28472	Whiteville	Columbus	Standard
28478	Willard	Pender	Standard
28479	Winnabow	Brunswick	Standard
28480	Wrightsville Beach	New Hanover	Standard
28501	Kinston	Lenoir	Standard
28502	Kinston	Lenoir	P.O. Box
28503	Kinston	Lenoir	P.O. Box
28504	Kinston	Lenoir	Standard
28508	Albertson	Duplin	Standard
28509	Alliance	Pamlico	P.O. Box
28510	Arapahoe	Pamlico	Standard
28511	Atlantic	Carteret	Standard
28512	Atlantic Beach	Carteret	Standard
28513	Ayden	Pitt	Standard
28515	Bayboro	Pamlico	Standard
28516	Beaufort	Carteret	Standard
28518	Beulaville	Duplin	Standard
28519	Bridgeton	Craven	P.O. Box
28520	Cedar Island	Carteret	Standard
28521	Chinquapin	Duplin	Standard
28522	Comfort	Jones	P.O. Box
28523	Cove City	Craven	Standard
28524	Davis	Carteret	Standard
28525	Deep Run	Lenoir	Standard
28526	Dover	Craven	Standard
28527	Ernul	Craven	Standard
28528	Gloucester	Carteret	Standard
28529	Grantsboro	Pamlico	Standard
28530	Grifton	Pitt	Standard
28531	Harkers Island	Carteret	Standard
28532	Havelock	Craven	Standard
28533	Cherry Point	Craven	Standard
28537	Hobucken	Pamlico	Standard
28538	Hookerton	Greene	Standard
28539	Hubert	Onslow	Standard
28540	Jacksonville	Onslow	Standard
28541	Jacksonville	Onslow	P.O. Box
28542	Camp Lejeune	Onslow	P.O. Box
28543	Tarawa Terrace	Onslow	Standard
28544	Midway Park	Onslow	Standard
28545	Mccutcheon Field	Onslow	Standard
28546	Jacksonville	Onslow	Standard
28547	Camp Lejeune	Onslow	Standard
28551	La Grange	Lenoir	Standard
28552	Lowland	Pamlico	Standard
28553	Marshallberg	Carteret	Standard
28554	Maury	Greene	P.O. Box
28555	Maysville	Jones	Standard
28556	Merritt	Pamlico	Standard
28557	Morehead City	Carteret	Standard
28560	New Bern	Craven	Standard
28561	New Bern	Craven	P.O. Box
28562	New Bern	Craven	Standard
28563	New Bern	Craven	P.O. Box
28564	New Bern	Craven	P.O. Box
28570	Newport	Carteret	Standard
28571	Oriental	Pamlico	Standard
28572	Pink Hill	Lenoir	Standard
28573	Pollocksville	Jones	Standard
28574	Richlands	Onslow	Standard
28575	Salter Path	Carteret	P.O. Box
28577	Sealevel	Carteret	Standard
28578	Seven Springs	Wayne	Standard
28579	Smyrna	Carteret	Standard
28580	Snow Hill	Greene	Standard
28581	Stacy	Carteret	Standard
28582	Stella	Carteret	Standard
28583	Stonewall	Pamlico	P.O. Box
28584	Swansboro	Onslow	Standard
28585	Trenton	Jones	Standard
28586	Vanceboro	Craven	Standard
28587	Vandemere	Pamlico	Standard
28589	Williston	Carteret	P.O. Box
28590	Winterville	Pitt	Standard
28594	Emerald Isle	Carteret	Standard
28601	Hickory	Catawba	Standard
28602	Hickory	Catawba	Standard
28603	Hickory	Catawba	P.O. Box
28604	Banner Elk	Avery	Standard
28605	Blowing Rock	Watauga	Standard
28606	Boomer	Wilkes	Standard
28607	Boone	Watauga	Standard
28608	Boone	Watauga	Unique
28609	Catawba	Catawba	Standard
28610	Claremont	Catawba	Standard
28611	Collettsville	Caldwell	Standard
28612	Connelly Springs	Burke	Standard
28613	Conover	Catawba	Standard
28615	Creston	Ashe	Standard
28616	Crossnore	Avery	P.O. Box
28617	Crumpler	Ashe	Standard
28618	Deep Gap	Watauga	Standard
28619	Drexel	Burke	P.O. Box
28621	Elkin	Surry	Standard
28622	Elk Park	Avery	Standard
28623	Ennice	Alleghany	Standard
28624	Ferguson	Wilkes	Standard
28625	Statesville	Iredell	Standard
28626	Fleetwood	Ashe	Standard
28627	Glade Valley	Alleghany	Standard
28628	Glen Alpine	Burke	P.O. Box
28629	Glendale Springs	Ashe	Standard
28630	Granite Falls	Caldwell	Standard
28631	Grassy Creek	Ashe	Standard
28633	Lenoir	Caldwell	Unique
28634	Harmony	Iredell	Standard
28635	Hays	Wilkes	Standard
28636	Hiddenite	Alexander	Standard
28637	Hildebran	Burke	Standard
28638	Hudson	Caldwell	Standard
28640	Jefferson	Ashe	Standard
28641	Jonas Ridge	Burke	P.O. Box
28642	Jonesville	Yadkin	Standard
28643	Lansing	Ashe	Standard
28644	Laurel Springs	Alleghany	Standard
28645	Lenoir	Caldwell	Standard
28646	Linville	Avery	P.O. Box
28647	Linville Falls	Burke	P.O. Box
28649	Mc Grady	Wilkes	Standard
28650	Maiden	Catawba	Standard
28651	Millers Creek	Wilkes	Standard
28652	Minneapolis	Avery	P.O. Box
28653	Montezuma	Avery	P.O. Box
28654	Moravian Falls	Wilkes	Standard
28655	Morganton	Burke	Standard
28656	North Wilkesboro	Wilkes	Unique
28657	Newland	Avery	Standard
28658	Newton	Catawba	Standard
28659	North Wilkesboro	Wilkes	Standard
28660	Olin	Iredell	Standard
28661	Patterson	Caldwell	P.O. Box
28662	Pineola	Avery	P.O. Box
28663	Piney Creek	Alleghany	Standard
28664	Plumtree	Avery	P.O. Box
28665	Purlear	Wilkes	Standard
28666	Icard	Burke	P.O. Box
28667	Rhodhiss	Caldwell	P.O. Box
28668	Roaring Gap	Alleghany	Standard
28669	Roaring River	Wilkes	Standard
28670	Ronda	Wilkes	Standard
28671	Rutherford College	Burke	P.O. Box
28672	Scottville	Ashe	Standard
28673	Sherrills Ford	Catawba	Standard
28675	Sparta	Alleghany	Standard
28676	State Road	Surry	Standard
28677	Statesville	Iredell	Standard
28678	Stony Point	Alexander	Standard
28679	Sugar Grove	Watauga	Standard
28680	Morganton	Burke	P.O. Box
28681	Taylorsville	Alexander	Standard
28682	Terrell	Catawba	Standard
28683	Thurmond	Wilkes	Standard
28684	Todd	Ashe	Standard
28685	Traphill	Wilkes	Standard
28687	Statesville	Iredell	P.O. Box
28688	Turnersburg	Iredell	P.O. Box
28689	Union Grove	Iredell	Standard
28690	Valdese	Burke	Standard
28691	Valle Crucis	Watauga	P.O. Box
28692	Vilas	Watauga	Standard
28693	Warrensville	Ashe	Standard
28694	West Jefferson	Ashe	Standard
28697	Wilkesboro	Wilkes	Standard
28698	Zionville	Watauga	Standard
28699	Scotts	Iredell	P.O. Box
28701	Alexander	Buncombe	Standard
28702	Almond	Swain	Standard
28704	Arden	Buncombe	Standard
28705	Bakersville	Mitchell	Standard
28707	Balsam	Jackson	P.O. Box
28708	Balsam Grove	Transylvania	Standard
28709	Barnardsville	Buncombe	Standard
28710	Bat Cave	Henderson	P.O. Box
28711	Black Mountain	Buncombe	Standard
28712	Brevard	Transylvania	Standard
28713	Bryson City	Swain	Standard
28714	Burnsville	Yancey	Standard
28715	Candler	Buncombe	Standard
28716	Canton	Haywood	Standard
28717	Cashiers	Jackson	Standard
28718	Cedar Mountain	Transylvania	Standard
28719	Cherokee	Swain	Standard
28720	Chimney Rock	Rutherford	P.O. Box
28721	Clyde	Haywood	Standard
28722	Columbus	Polk	Standard
28723	Cullowhee	Jackson	Standard
28724	Dana	Henderson	P.O. Box
28725	Dillsboro	Jackson	P.O. Box
28726	East Flat Rock	Henderson	Standard
28727	Edneyville	Henderson	P.O. Box
28728	Enka	Buncombe	P.O. Box
28729	Etowah	Henderson	Standard
28730	Fairview	Buncombe	Standard
28731	Flat Rock	Henderson	Standard
28732	Fletcher	Henderson	Standard
28733	Fontana Dam	Graham	Standard
28734	Franklin	Macon	Standard
28735	Gerton	Henderson	Standard
28736	Glenville	Jackson	Standard
28737	Glenwood	McDowell	P.O. Box
28738	Hazelwood	Haywood	P.O. Box
28739	Hendersonville	Henderson	Standard
28740	Green Mountain	Yancey	Standard
28741	Highlands	Macon	Standard
28742	Horse Shoe	Henderson	Standard
28743	Hot Springs	Madison	Standard
28744	Franklin	Macon	P.O. Box
28745	Lake Junaluska	Haywood	Standard
28746	Lake Lure	Rutherford	Standard
28747	Lake Toxaway	Transylvania	Standard
28748	Leicester	Buncombe	Standard
28749	Little Switzerland	McDowell	P.O. Box
28750	Lynn	Polk	P.O. Box
28751	Maggie Valley	Haywood	Standard
28752	Marion	McDowell	Standard
28753	Marshall	Madison	Standard
28754	Mars Hill	Madison	Standard
28755	Micaville	Yancey	P.O. Box
28756	Mill Spring	Polk	Standard
28757	Montreat	Buncombe	P.O. Box
28758	Mountain Home	Henderson	P.O. Box
28759	Mills River	Henderson	Standard
28760	Naples	Henderson	P.O. Box
28761	Nebo	McDowell	Standard
28762	Old Fort	McDowell	Standard
28763	Otto	Macon	Standard
28765	Penland	Mitchell	P.O. Box
28766	Penrose	Transylvania	Standard
28768	Pisgah Forest	Transylvania	Standard
28770	Ridgecrest	Buncombe	P.O. Box
28771	Robbinsville	Graham	Standard
28772	Rosman	Transylvania	Standard
28773	Saluda	Polk	Standard
28774	Sapphire	Transylvania	Standard
28775	Scaly Mountain	Macon	Standard
28776	Skyland	Buncombe	P.O. Box
28777	Spruce Pine	Mitchell	Standard
28778	Swannanoa	Buncombe	Standard
28779	Sylva	Jackson	Standard
28781	Topton	Cherokee	Standard
28782	Tryon	Polk	Standard
28783	Tuckasegee	Jackson	Standard
28784	Tuxedo	Henderson	P.O. Box
28785	Waynesville	Haywood	Standard
28786	Waynesville	Haywood	Standard
28787	Weaverville	Buncombe	Standard
28788	Webster	Jackson	P.O. Box
28789	Whittier	Jackson	Standard
28790	Zirconia	Henderson	Standard
28791	Hendersonville	Henderson	Standard
28792	Hendersonville	Henderson	Standard
28793	Hendersonville	Henderson	P.O. Box
28801	Asheville	Buncombe	Standard
28802	Asheville	Buncombe	P.O. Box
28803	Asheville	Buncombe	Standard
28804	Asheville	Buncombe	Standard
28805	Asheville	Buncombe	Standard
28806	Asheville	Buncombe	Standard
28810	Asheville	Buncombe	Standard
28813	Asheville	Buncombe	P.O. Box
28814	Asheville	Buncombe	P.O. Box
28815	Asheville	Buncombe	P.O. Box
28816	Asheville	Buncombe	P.O. Box
28901	Andrews	Cherokee	Standard
28902	Brasstown	Clay	Standard
28903	Culberson	Cherokee	P.O. Box
28904	Hayesville	Clay	Standard
28905	Marble	Cherokee	Standard
28906	Murphy	Cherokee	Standard
28909	Warne	Clay	Standard
